51,192,1900,1,0,0:0:0:0:
153,192,4043,1,0,0:0:0:0:
153,192,6569,1,0,0:0:0:0:
256,192,9018,1,0,0:0:0:0:
64,192,11390,128,0,20880:0:0:0:0:
64,192,21645,1,0,0:0:0:0:
320,192,22334,1,0,0:0:0:0:
192,192,22946,1,0,0:0:0:0:
192,192,23482,1,0,0:0:0:0:
448,192,24094,1,0,0:0:0:0:
320,192,24630,1,0,0:0:0:0:
64,192,25013,1,0,0:0:0:0:
192,192,25548,1,0,0:0:0:0:
320,192,26543,1,0,0:0:0:0:
192,192,27156,1,0,0:0:0:0:
448,192,27768,1,0,0:0:0:0:
320,192,28303,1,0,0:0:0:0:
64,192,28992,1,0,0:0:0:0:
192,192,29451,1,0,0:0:0:0:
320,192,30523,1,0,0:0:0:0:
192,192,31212,1,0,0:0:0:0:
192,192,31747,1,0,0:0:0:0:
64,192,32436,1,0,0:0:0:0:
320,192,32895,1,0,0:0:0:0:
64,192,33584,1,0,0:0:0:0:
448,192,34196,1,0,0:0:0:0:
64,192,34885,1,0,0:0:0:0:
320,192,35421,1,0,0:0:0:0:
448,192,36033,1,0,0:0:0:0:
192,192,36722,1,0,0:0:0:0:
448,192,37258,1,0,0:0:0:0:
320,192,37870,1,0,0:0:0:0:
448,192,38559,1,0,0:0:0:0:
448,192,38788,1,0,0:0:0:0:
448,192,39094,1,0,0:0:0:0:
64,192,39860,1,0,0:0:0:0:
320,192,40854,1,0,0:0:0:0:
192,192,42232,1,0,0:0:0:0:
448,192,43457,1,0,0:0:0:0:
64,192,44758,1,0,0:0:0:0:
64,192,48354,128,0,49120:0:0:0:0:
192,192,50957,128,0,53406:0:0:0:0:
320,192,55701,128,0,56390:0:0:0:0:
64,192,57079,128,0,57615:0:0:0:0:
192,192,58303,1,0,0:0:0:0:
320,192,58839,1,0,0:0:0:0:
448,192,59375,1,0,0:0:0:0:
64,192,60676,1,0,0:0:0:0:
192,192,60906,1,0,0:0:0:0:
64,192,61212,1,0,0:0:0:0:
320,192,61671,1,0,0:0:0:0:
448,192,62360,1,0,0:0:0:0:
192,192,63048,1,0,0:0:0:0:
448,192,63278,1,0,0:0:0:0:
320,192,63661,1,0,0:0:0:0:
192,192,64273,1,0,0:0:0:0:
448,192,64732,1,0,0:0:0:0:
64,192,65650,1,0,0:0:0:0:
64,192,65880,1,0,0:0:0:0:
64,192,66186,1,0,0:0:0:0:
448,192,66798,1,0,0:0:0:0:
448,192,67104,1,0,0:0:0:0:
448,192,67334,1,0,0:0:0:0:
320,192,68023,1,0,0:0:0:0:
448,192,68482,1,0,0:0:0:0:
192,192,69094,1,0,0:0:0:0:
320,192,69400,1,0,0:0:0:0:
448,192,69860,1,0,0:0:0:0:
320,192,70166,1,0,0:0:0:0:
192,192,70548,1,0,0:0:0:0:
64,192,72997,1,0,0:0:0:0:
320,192,74145,1,0,0:0:0:0:
448,192,74834,1,0,0:0:0:0:
320,192,75523,1,0,0:0:0:0:
192,192,76059,1,0,0:0:0:0:
320,192,76594,1,0,0:0:0:0:
448,192,77207,1,0,0:0:0:0:
64,192,77972,1,0,0:0:0:0:
192,192,78354,1,0,0:0:0:0:
64,192,78890,1,0,0:0:0:0:
320,192,79502,1,0,0:0:0:0:
320,192,80421,1,0,0:0:0:0:
64,192,82793,1,0,0:0:0:0:
448,192,85242,128,0,87385:0:0:0:0:
320,192,87844,128,0,88533:0:0:0:0:
64,192,89604,1,0,0:0:0:0:
Title-Outer Science.,,,,,
Artist-Will Stetson,,,,,
Level-Sweet,,,,,
